asset,description,buildingcode,buildingname,floor,directions
72124,"PL, BOTTLE FILLER WATER FILTER, LCA- W FORUM EL#1",0752_00_G26,Wallace Dance Building and Theater,0, W FORUM EL#1
72127,"PL, BOTTLE FILLER WATER FILTER, LCA",0752_00_K30,Wallace Dance Building and Theater,0,0
72118,"PL, BOTTLE FILLER WATER FILTER, LCA",0752_00_K30,Wallace Dance Building and Theater,0,0
72125,"PL, BOTTLE FILLER WATER FILTER, LCA",0752_03_D20,Wallace Dance Building and Theater,3,3
72132,"PL, BOTTLE FILLER WATER FILTER, LCA- BY STAIR # 9",0752_00_K30,Wallace Dance Building and Theater,0,BY STAIR #9
72126,"PL, BOTTLE FILLER WATER FILTER, LCA",0752_0M_R99,Wallace Dance Building and Theater,M,M
72133,"PL, BOTTLE FILLER WATER FILTER, ""FILTRINE FOUNTAIN""- LCA W207 COR",0752_02_L39,Wallace Dance Building and Theater,2,2
72122,"PL, BOTTLE FILLER WATER FILTER, LCA- FORUM EL#4",0752_00_D21,Wallace Dance Building and Theater,0,FORUM EL#4
72128,"PL, BOTTLE FILLER WATER FILTER, LCA- OUTSIDE ELV. #1",0752_00_K30,Wallace Dance Building and Theater,0,OUTSIDE ELV.#1
66005,"PL, BOTTLE FILLER WATER FILTER, Wallace Hall",0615_A_C9,Wallace Hall,A,A
82492,"PL, BOTTLE FILLER WATER FILTER, Whitman College, Wendell Hall 'C'",0670_01_UU27,Wendell Hall 'C',1,1
90946,"PL, BOTTLE FILLER WATER FILTER, Wendell Hall ""C"", Hallway C300B",0670_03_TT44,Wendell Hall 'C',3,3
90947,"PL, BOTTLE FILLER WATER FILTER, Wendell Hall ""C"", Hallway C400A",0670_04_TT42,Wendell Hall 'C',4,4
24615,"PL, BOTTLE FILLER WATER FILTER, Whig Hall",0017_00_K7,Whig Hall,0,0
24793,"PL, BOTTLE FILLER WATER FILTER, Wilcox Hall",0099,Wilcox Hall,N/A,N/A
24801,"PL, BOTTLE FILLER WATER FILTER, Wilf Hall",0696_02_LL66,Wilf Hall,2,2
24802,"PL, BOTTLE FILLER WATER FILTER, Wilf Hall",0696_03_LL66,Wilf Hall,3,3
24803,"PL, BOTTLE FILLER WATER FILTER, Wilf Hall",0696_04_LL66,Wilf Hall,4,4
24804,"PL, BOTTLE FILLER WATER FILTER, Wilf Hall",0696_02_V68,Wilf Hall,2,2
52655,"PL, BOTTLE FILLER WATER FILTER, Witherspoon Hall",0007_04_J12,Witherspoon Hall,4,4
24530,"PL, BOTTLE FILLER WATER FILTER, Witherspoon Hall",0007_00_M19,Witherspoon Hall,0,0
25007,"PL, BOTTLE FILLER WATER FILTER, Woolworth Music Center",0116_A_I19,Woolworth Music Center,A,A
25008,"PL, BOTTLE FILLER WATER FILTER, Woolworth Music Center",0116_01_W15,Woolworth Music Center,1,1
25009,"PL, BOTTLE FILLER WATER FILTER, Woolworth Music Center",0116_02_W25,Woolworth Music Center,2,2
25010,"PL, BOTTLE FILLER WATER FILTER, Woolworth Music Center",0116_02_M14,Woolworth Music Center,2,2
25011,"PL, BOTTLE FILLER WATER FILTER, Woolworth Music Center",0116_03_T14,Woolworth Music Center,3,3
24790,"PL, BOTTLE FILLER WATER FILTER, Wu Hall",0160_02_J21,Wu Hall,2,2
24976,"PL, BOTTLE FILLER WATER FILTER, Butler College, Yoseloff Hall",0693_01_G24,Yoseloff Hall,1,1
24977,"PL, BOTTLE FILLER WATER FILTER, Butler College, Yoseloff Hall",0693_02_G24,Yoseloff Hall,2,2
24978,"PL, BOTTLE FILLER WATER FILTER, Butler College, Yoseloff Hall",0693,Yoseloff Hall,N/A,N/A
