locationcode,name,lat,long
0660,"South Harrison Street, 263",40.346838460200,-74.640401428100
0365,"Maclean Circle, 93",40.346854718900,-74.634381228700
0821,"Broadmead, 185",40.346879139600,-74.644276078300
0329,"Hartley Avenue, 143",40.346886440300,-74.637845609000
0414,"University Place, 27",40.346976898900,-74.662874597700
0131,Art Museum,40.347000804800,-74.657653194800
0369,"Maclean Circle, 111",40.347078399800,-74.634027099600
0345,"Hartley Avenue, 282",40.347081665100,-74.632832097300
0855,Clarke Field Dugout,40.347091721000,-74.648114345300
0008,Prospect House,40.347095498700,-74.656618587600
0089,"University Place, 36",40.347127720100,-74.661531438100
0716,Coil Assembly and Storage Building,40.347143112200,-74.601199415800
0368,"Maclean Circle, 108",40.347151724900,-74.635127401200
0010,Edwards Hall,40.347153397100,-74.659280454000
0331,"Hartley Avenue, 159",40.347189456900,-74.637270044500
0116,Woolworth Music Center,40.347262386900,-74.655843292300
0332,"Hartley Avenue, 167",40.347318090600,-74.636959140300
0039,McCormick Hall,40.347329701100,-74.658007874000
0135,Printing & Mailing Services,40.347341415400,-74.612424276300
0370,"Maclean Circle, 114",40.347355451600,-74.634838447700
0169,Clarke Field Press Box,40.347374243500,-74.648135277300
0344,"Hartley Avenue, 272",40.347377596200,-74.633073202200
0631,Buyers Hall,40.347391395800,-74.660731125200
0007,Witherspoon Hall,40.347459890700,-74.660130076300
0019,Blair Hall,40.347460713900,-74.661565540300
0529,"University Place, 23",40.347473209600,-74.662533016800
0298,"Ferris Thompson, Western Way, 30-36",40.347486508600,-74.649403841400
0136,Auxiliary Library,40.347492022800,-74.613377331300
0802,Broadmead Swim Club,40.347528522000,-74.643466771000
0297,"Ferris Thompson, Western Way, 20-26",40.347548109700,-74.649770950300
0333,"Hartley Avenue, 183",40.347581118400,-74.636381204700
0579,Campus Club,40.347584648500,-74.654436280800
0371,"Maclean Circle, 122",40.347586729800,-74.634579248200
0299,"Ferris Thompson, Western Way, 40-46",40.347598259500,-74.649103204200
0124,"Broadmead, 171",40.347621855900,-74.644714241300
0530,"University Place, 19",40.347635633100,-74.662643130300
0343,"Hartley Avenue, 264",40.347653388300,-74.633274917000
0016,Clio Hall,40.347677513400,-74.659132935900
0334,"Hartley Avenue, 191",40.347682375700,-74.636021619000
0591,Tower Club,40.347687253400,-74.653936019500
0464,"FitzRandolph Road, 168",40.347698651000,-74.645731894800
0783,"Ferris Thompson, Garage #1",40.347711344300,-74.649534238200
0022,Class of 1879 Hall,40.347724077900,-74.655304711900
0154,"Prospect Avenue, 21",40.347799806600,-74.653331099200
0785,"Ferris Thompson, Garage #3",40.347815327800,-74.649255077700
0017,Whig Hall,40.347823681600,-74.658628206900
0059,Joline Hall,40.347826656400,-74.662087065900
0301,"Ferris Thompson, Western Way, 60-66",40.347847907000,-74.648430724100
0335,"Hartley Avenue, 199",40.347849469900,-74.635785879400
0109,Architecture Building,40.347857612700,-74.656215948800
0340,"Hartley Avenue, 247",40.347858881900,-74.634251681100
0527,"University Place, 15",40.347861998500,-74.662786653200
0784,"Ferris Thompson, Garage #2",40.347870221700,-74.649462942200
0300,"Ferris Thompson, Western Way, 50-58",40.347886725300,-74.648871591900
0342,"Hartley Avenue, 256",40.347914742200,-74.633482099400
0302,"Ferris Thompson, Western Way, 70-76",40.347959178900,-74.648129702600
0020,Dodge Hall,40.347961642500,-74.657910967500
0528,"University Place, 11",40.348006614100,-74.662892108200
0336,"Hartley Avenue, 207",40.348008006300,-74.635471022800
0004,Morrison Hall,40.348032142400,-74.659775692700
0576,"Broadmead, 157",40.348035699000,-74.645000536200
0026,Campbell Hall,40.348043149700,-74.661414921700
0337,"Hartley Avenue, 215",40.348045958100,-74.635062168700
0009,Murray Theatre,40.348054651100,-74.657680992800
0786,"Ferris Thompson, Garage #4",40.348072187200,-74.648558696700
